Date,Price,Open,High,Low,Vol.,Change %,Company,Year,Month,Day,Spread
2024-10-22,582.01,574.29,583.53,572.12,8540000.0,1.19,2,2024,10,22,11.409999999999968
2024-10-22,427.51,418.49,430.58,418.04,25480000.0,2.08,3,2024,10,22,12.539999999999964
2024-10-23,184.71,188.85,189.16,183.69,31940000.0,-2.63,0,2024,10,23,5.469999999999999
2024-10-23,162.78,164.76,165.82,161.93,18280000.0,-1.43,1,2024,10,23,3.8899999999999864
2024-10-23,563.69,579.97,585.0,562.5,14250000.0,-3.15,2,2024,10,23,22.5
2024-10-23,424.6,430.86,431.08,422.53,19650000.0,-0.68,3,2024,10,23,8.550000000000011
2024-10-24,186.38,185.25,187.11,183.86,21650000.0,0.9,0,2024,10,24,3.25
2024-10-24,162.72,162.83,163.33,161.01,22410000.0,-0.04,1,2024,10,24,2.3200000000000216
2024-10-24,567.78,567.13,568.88,561.52,7180000.0,0.73,2,2024,10,24,7.360000000000014
2024-10-24,424.73,425.33,425.98,422.4,13580000.0,0.03,3,2024,10,24,3.580000000000041
2024-10-25,187.83,187.85,190.45,187.53,29360000.0,0.78,0,2024,10,25,2.9199999999999875
2024-10-25,165.27,163.67,165.59,163.42,19830000.0,1.57,1,2024,10,25,2.170000000000016
2024-10-25,573.25,573.93,581.29,571.72,11340000.0,0.96,2,2024,10,25,9.569999999999936
2024-10-25,428.15,426.76,432.52,426.57,16900000.0,0.81,3,2024,10,25,5.949999999999989
2024-10-28,188.39,189.57,190.21,188.21,27930000.0,0.3,0,2024,10,28,2.0
2024-10-28,166.72,168.75,168.75,163.95,32140000.0,0.88,1,2024,10,28,4.800000000000011
2024-10-28,578.16,582.0,583.75,574.12,10930000.0,0.86,2,2024,10,28,9.629999999999995
2024-10-28,426.59,431.65,431.94,426.3,14880000.0,-0.36,3,2024,10,28,5.639999999999986
2024-10-29,190.83,188.58,191.46,187.82,35690000.0,1.3,0,2024,10,29,3.640000000000015
2024-10-29,169.68,167.73,170.38,167.09,42170000.0,1.78,1,2024,10,29,3.289999999999992
2024-10-29,593.28,580.15,593.67,575.4,13020000.0,2.62,2,2024,10,29,18.269999999999982
2024-10-29,431.95,428.0,433.17,425.8,17640000.0,1.26,3,2024,10,29,7.3700000000000045
2024-10-30,192.73,194.7,195.61,192.42,37710000.0,1.0,0,2024,10,30,3.190000000000026
2024-10-30,174.46,180.68,182.02,174.06,68890000.0,2.82,1,2024,10,30,7.960000000000008
2024-10-30,591.8,600.98,601.2,589.38,26860000.0,-0.25,2,2024,10,30,11.82000000000005
2024-10-30,432.53,437.43,438.5,432.1,29750000.0,0.13,3,2024,10,30,6.399999999999977
2024-10-31,186.4,190.51,190.6,185.23,75150000.0,-3.28,0,2024,10,31,5.3700000000000045
2024-10-31,171.11,173.13,176.82,171.0,44770000.0,-1.92,1,2024,10,31,5.819999999999993
2024-10-31,567.58,585.0,589.9,563.01,26840000.0,-4.09,2,2024,10,31,26.889999999999986
2024-10-31,406.35,415.36,416.16,406.3,53970000.0,-6.05,3,2024,10,31,9.860000000000014
2024-11-01,197.93,199.0,200.5,197.02,99690000.0,6.19,0,2024,11,1,3.4799999999999898
2024-11-01,171.29,170.07,172.32,168.88,31800000.0,0.11,1,2024,11,1,3.4399999999999977
2024-11-01,567.16,567.6,573.67,562.56,15300000.0,-0.07,2,2024,11,1,11.110000000000014
2024-11-01,410.37,409.01,415.5,407.5,24230000.0,0.99,3,2024,11,1,8.0
2024-11-04,195.78,196.45,197.33,194.31,38490000.0,-1.09,0,2024,11,4,3.0200000000000102
2024-11-04,169.24,169.93,170.73,168.01,21490000.0,-1.2,1,2024,11,4,2.719999999999999
2024-11-04,560.68,564.1,568.69,557.89,12060000.0,-1.14,2,2024,11,4,10.800000000000068
2024-11-04,408.46,409.8,410.42,405.57,19670000.0,-0.47,3,2024,11,4,4.850000000000023
2024-11-05,199.5,196.04,199.82,195.99,30560000.0,1.9,0,2024,11,5,3.829999999999984
2024-11-05,169.74,169.43,170.53,168.84,18240000.0,0.3,1,2024,11,5,1.6899999999999977
2024-11-05,572.43,567.3,573.48,566.67,9780000.0,2.1,2,2024,11,5,6.810000000000059
2024-11-05,411.46,408.37,414.9,408.08,17630000.0,0.73,3,2024,11,5,6.819999999999993
2024-11-06,207.09,200.01,207.55,199.14,72290000.0,3.8,0,2024,11,6,8.410000000000025
2024-11-06,176.51,173.8,176.94,173.5,33700000.0,3.99,1,2024,11,6,3.4399999999999977
2024-11-06,572.05,562.75,573.0,555.17,18310000.0,-0.07,2,2024,11,6,17.83000000000004
2024-11-06,420.18,412.42,420.45,410.52,26680000.0,2.12,3,2024,11,6,9.930000000000007
2024-11-07,210.05,207.44,212.25,207.19,52880000.0,1.43,0,2024,11,7,5.060000000000002
2024-11-07,180.75,177.41,181.08,177.19,25350000.0,2.4,1,2024,11,7,3.890000000000015
2024-11-07,591.7,576.89,594.8,575.21,14650000.0,3.44,2,2024,11,7,19.589999999999918
2024-11-07,425.43,421.28,426.85,419.88,19900000.0,1.25,3,2024,11,7,6.970000000000027
2024-11-08,208.18,209.72,209.96,207.44,36080000.0,-0.89,0,2024,11,8,2.5200000000000102
2024-11-08,178.35,180.65,180.9,178.08,22010000.0,-1.33,1,2024,11,8,2.819999999999993
2024-11-08,589.34,591.54,593.1,584.52,9420000.0,-0.4,2,2024,11,8,8.580000000000041
2024-11-08,422.54,425.32,426.5,421.78,16890000.0,-0.68,3,2024,11,8,4.720000000000027
2024-11-11,206.84,208.5,209.65,205.59,35460000.0,-0.64,0,2024,11,11,4.060000000000002
2024-11-11,180.35,178.58,180.54,178.47,17450000.0,1.12,1,2024,11,11,2.069999999999993
2024-11-11,583.17,586.36,587.0,576.51,10210000.0,-1.05,2,2024,11,11,10.490000000000009
2024-11-11,418.01,422.52,424.81,416.0,24500000.0,-1.07,3,2024,11,11,8.810000000000002
2024-11-12,208.91,208.37,209.54,206.01,38940000.0,1.0,0,2024,11,12,3.530000000000001
2024-11-12,181.62,179.82,182.49,179.39,25130000.0,0.7,1,2024,11,12,3.1000000000000227
2024-11-12,584.82,588.54,599.66,580.38,16290000.0,0.28,2,2024,11,12,19.279999999999973
2024-11-12,423.03,418.25,424.44,417.2,19400000.0,1.2,3,2024,11,12,7.240000000000009
2024-11-13,214.1,209.4,215.09,209.14,46210000.0,2.48,0,2024,11,13,5.950000000000017
2024-11-13,178.88,180.46,180.96,178.54,23180000.0,-1.51,1,2024,11,13,2.420000000000016
2024-11-13,580.0,582.6,585.64,575.17,10760000.0,-0.82,2,2024,11,13,10.470000000000027
2024-11-13,425.2,421.64,429.33,418.21,21500000.0,0.51,3,2024,11,13,11.120000000000005
2024-11-14,211.48,214.16,215.9,210.88,42620000.0,-1.22,0,2024,11,14,5.02000000000001
2024-11-14,175.58,178.28,178.82,174.32,31010000.0,-1.84,1,2024,11,14,4.5
2024-11-14,577.16,577.0,580.76,573.01,11050000.0,-0.49,2,2024,11,14,7.75
2024-11-14,426.89,425.0,428.17,420.0,30250000.0,0.4,3,2024,11,14,8.170000000000016
2024-11-15,202.61,206.76,207.34,199.61,86590000.0,-4.19,0,2024,11,15,7.72999999999999
2024-11-15,172.49,173.73,174.14,171.22,32500000.0,-1.76,1,2024,11,15,2.9199999999999875
2024-11-15,554.08,571.22,572.57,551.5,17710000.0,-4.0,2,2024,11,15,21.07000000000005
2024-11-15,415.0,419.82,422.8,413.64,28250000.0,-2.79,3,2024,11,15,9.160000000000025
2024-11-18,201.7,204.15,204.67,200.95,36510000.0,-0.45,0,2024,11,18,3.719999999999999
2024-11-18,175.3,173.42,175.44,172.9,20210000.0,1.63,1,2024,11,18,2.539999999999992
2024-11-18,554.4,557.04,559.9,550.09,14350000.0,0.06,2,2024,11,18,9.809999999999945
2024-11-18,415.76,414.87,418.4,412.1,24740000.0,0.18,3,2024,11,18,6.2999999999999545
2024-11-19,204.61,199.33,205.3,198.78,31200000.0,1.44,0,2024,11,19,6.52000000000001
2024-11-19,178.12,173.72,178.87,173.56,23430000.0,1.61,1,2024,11,19,5.310000000000002
2024-11-19,561.09,551.86,561.43,550.6,9520000.0,1.21,2,2024,11,19,10.829999999999927
