"Date","Price","Open","High","Low","Vol.","Change %"
"01/15/2025","426.31","419.13","428.15","418.27","19.64M","2.56%"
"01/14/2025","415.67","417.81","419.74","410.72","16.94M","-0.36%"
"01/13/2025","417.19","415.23","418.50","412.29","17.60M","-0.42%"
"01/10/2025","418.95","424.63","424.71","415.02","20.20M","-1.32%"
"01/08/2025","424.56","423.46","426.97","421.54","15.05M","0.52%"
"01/07/2025","422.37","429.00","430.65","420.80","18.14M","-1.28%"
"01/06/2025","427.85","428.00","434.32","425.48","20.57M","1.06%"
"01/03/2025","423.35","421.08","424.03","419.54","16.66M","1.14%"
"01/02/2025","418.58","425.53","426.07","414.85","16.90M","-0.69%"
"12/31/2024","421.50","426.10","426.73","420.66","13.25M","-0.78%"
"12/30/2024","424.83","426.06","427.55","421.90","13.16M","-1.32%"
"12/27/2024","430.53","434.60","435.22","426.35","18.12M","-1.73%"
"12/26/2024","438.11","439.08","440.94","436.63","8.20M","-0.28%"
"12/24/2024","439.33","434.65","439.60","434.19","7.16M","0.94%"
"12/23/2024","435.25","436.74","437.65","432.83","19.15M","-0.31%"
"12/20/2024","436.60","433.11","443.74","428.63","64.26M","-0.10%"
"12/19/2024","437.03","441.62","443.18","436.32","22.96M","-0.08%"
"12/18/2024","437.39","451.32","452.65","437.02","24.44M","-3.76%"
"12/17/2024","454.46","451.01","455.29","449.57","22.73M","0.64%"
"12/16/2024","451.59","447.27","452.18","445.28","23.60M","0.97%"
"12/13/2024","447.27","448.43","451.43","445.58","20.18M","-0.51%"
"12/12/2024","449.56","449.11","456.16","449.11","20.83M","0.13%"
"12/11/2024","448.99","444.05","450.35","444.05","19.20M","1.28%"
"12/10/2024","443.33","444.39","449.62","441.60","18.47M","-0.60%"
"12/09/2024","446.02","442.60","448.33","440.50","19.14M","0.55%"
"12/06/2024","443.57","442.30","446.10","441.77","18.82M","0.21%"
"12/05/2024","442.62","437.92","444.66","436.17","21.70M","1.19%"
"12/04/2024","437.42","433.03","439.67","432.63","26.01M","1.44%"
"12/03/2024","431.20","429.84","432.47","427.74","18.30M","0.05%"
"12/02/2024","430.98","421.57","433.00","421.31","20.21M","1.78%"
"11/29/2024","423.46","420.09","424.88","417.80","16.27M","0.11%"
"11/27/2024","422.99","425.11","427.23","422.02","18.33M","-1.17%"
"11/26/2024","427.99","419.58","429.04","418.85","23.46M","2.20%"
"11/25/2024","418.79","418.38","421.08","414.85","27.69M","0.43%"
"11/22/2024","417.00","411.36","417.40","411.06","24.81M","1.00%"
"11/21/2024","412.87","419.50","419.78","410.29","20.78M","-0.63%"
"11/20/2024","415.49","416.87","417.29","410.58","19.19M","-0.55%"
"11/19/2024","417.79","413.11","417.94","411.55","18.13M","0.49%"
"11/18/2024","415.76","414.87","418.40","412.10","24.74M","0.18%"
"11/15/2024","415.00","419.82","422.80","413.64","28.25M","-2.79%"
"11/14/2024","426.89","425.00","428.17","420.00","30.25M","0.40%"
