"Date","Price","Open","High","Low","Vol.","Change %"
"04/17/2025","501.48","505.25","507.30","498.01","14.59M","-0.17%"
"04/16/2025","502.31","508.51","513.37","495.63","18.74M","-3.68%"
"04/15/2025","521.52","532.10","537.94","517.50","15.56M","-1.87%"
"04/14/2025","531.48","556.17","557.77","528.28","14.13M","-2.22%"
"04/11/2025","543.57","535.51","547.40","528.59","17.64M","-0.50%"
"04/10/2025","546.29","575.49","581.30","535.30","28.17M","-6.74%"
"04/09/2025","585.77","509.27","587.89","502.11","39.22M","14.76%"
"04/08/2025","510.45","543.25","547.43","502.86","28.03M","-1.12%"
"04/07/2025","516.25","485.10","539.37","481.90","36.61M","2.28%"
"04/04/2025","504.73","506.62","518.00","494.20","38.59M","-5.06%"
"04/03/2025","531.62","546.22","552.56","530.30","34.78M","-8.96%"
"04/02/2025","583.93","574.91","592.66","573.36","13.47M","-0.35%"
"04/01/2025","586.00","570.84","589.91","570.00","12.84M","1.67%"
"03/31/2025","576.36","563.50","578.70","553.30","21.12M","-0.07%"
"03/28/2025","576.74","600.31","601.75","573.92","17.60M","-4.29%"
"03/27/2025","602.58","602.00","614.25","600.10","10.44M","-1.37%"
"03/26/2025","610.98","624.89","626.75","606.61","12.66M","-2.45%"
"03/25/2025","626.31","626.76","633.88","621.18","15.31M","1.21%"
"03/24/2025","618.85","614.97","622.54","612.20","15.74M","3.79%"
"03/21/2025","596.25","583.42","597.54","580.95","25.02M","1.75%"
"03/20/2025","586.00","582.76","610.20","579.51","24.34M","0.33%"
"03/19/2025","584.06","584.28","592.32","574.77","20.54M","0.29%"
"03/18/2025","582.36","600.05","600.25","574.66","20.30M","-3.73%"
"03/17/2025","604.90","607.46","613.10","598.00","15.47M","-0.44%"
"03/14/2025","607.60","602.80","608.86","594.78","12.36M","2.87%"
"03/13/2025","590.64","620.24","620.50","586.51","16.48M","-4.67%"
"03/12/2025","619.56","629.90","633.33","609.35","15.75M","2.29%"
"03/11/2025","605.71","595.05","614.93","593.33","17.40M","1.29%"
"03/10/2025","597.99","608.07","610.11","586.87","22.00M","-4.42%"
"03/07/2025","625.66","625.37","634.79","600.61","21.38M","-0.36%"
"03/06/2025","627.93","648.00","650.56","624.11","13.45M","-4.35%"
"03/05/2025","656.47","641.00","659.50","637.66","13.77M","2.57%"
"03/04/2025","640.00","645.51","649.75","623.65","21.50M","-2.30%"
"03/03/2025","655.05","673.67","681.25","650.84","10.84M","-1.97%"
"02/28/2025","668.20","658.04","669.63","642.60","17.53M","1.51%"
"02/27/2025","658.24","682.45","688.65","657.57","12.50M","-2.29%"
"02/26/2025","673.70","659.65","683.01","658.00","14.49M","2.46%"
"02/25/2025","657.50","665.97","668.00","641.86","20.58M","-1.59%"
"02/24/2025","668.13","686.28","687.27","662.45","15.68M","-2.26%"
"02/21/2025","683.55","696.58","703.87","682.36","15.66M","-1.62%"
"02/20/2025","694.84","697.28","705.63","693.64","12.59M","-1.27%"
"02/19/2025","703.77","704.09","707.00","695.39","17.54M","-1.76%"
"02/18/2025","716.37","736.00","737.00","706.44","21.94M","-2.76%"
"02/14/2025","736.67","726.14","740.91","725.62","16.90M","1.11%"
"02/13/2025","728.56","721.52","729.00","718.04","12.57M","0.44%"
"02/12/2025","725.38","715.30","727.10","712.60","12.02M","0.78%"
"02/11/2025","719.80","713.32","723.66","710.04","13.00M","0.33%"
"02/10/2025","717.40","718.56","721.20","711.33","12.90M","0.40%"
"02/07/2025","714.52","716.79","725.01","711.75","16.43M","0.36%"
"02/06/2025","711.99","705.88","718.90","703.50","13.08M","1.01%"
"02/05/2025","704.87","703.55","718.14","699.01","17.79M","0.10%"
"02/04/2025","704.19","702.50","707.71","691.61","13.83M","0.96%"
"02/03/2025","697.46","675.91","704.00","675.25","21.42M","1.20%"
"01/31/2025","689.18","691.00","705.30","685.58","19.33M","0.32%"
"01/30/2025","687.00","696.82","710.79","676.10","29.32M","1.55%"
"01/29/2025","676.49","675.00","681.05","665.67","21.38M","0.32%"
"01/28/2025","674.33","666.00","682.58","659.47","20.95M","2.19%"
"01/27/2025","659.88","626.61","663.87","625.10","28.40M","1.91%"
"01/24/2025","647.49","636.40","652.00","634.20","19.07M","1.73%"
"01/23/2025","636.45","627.36","636.60","621.15","9.91M","2.08%"
"01/22/2025","623.50","623.30","633.70","619.43","12.27M","1.14%"
"01/21/2025","616.46","617.83","621.50","609.01","11.67M","0.60%"
"01/17/2025","612.77","624.05","624.97","603.67","17.28M","0.24%"
"01/16/2025","611.30","611.50","616.25","609.71","8.36M","-0.94%"
"01/15/2025","617.12","610.21","622.46","606.50","15.52M","3.85%"
"01/14/2025","594.25","605.07","605.49","588.55","13.60M","-2.31%"
"01/13/2025","608.33","607.10","608.97","598.45","10.79M","-1.22%"
"01/10/2025","615.86","610.03","629.91","597.34","19.26M","0.84%"
"01/08/2025","610.72","613.40","616.44","602.79","10.09M","-1.16%"
"01/07/2025","617.89","631.70","632.10","608.23","12.07M","-1.95%"
"01/06/2025","630.20","611.83","630.99","605.62","14.56M","4.23%"
"01/03/2025","604.63","604.76","609.50","596.41","11.44M","0.90%"
"01/02/2025","599.24","589.72","604.91","587.82","12.68M","2.34%"
"12/31/2024","585.51","592.27","593.97","583.85","6.02M","-0.97%"
"12/30/2024","591.24","588.75","596.94","585.58","7.03M","-1.43%"
"12/27/2024","599.81","599.41","601.85","589.80","8.08M","-0.59%"
"12/26/2024","603.35","605.48","606.30","598.94","6.09M","-0.72%"
"12/24/2024","607.75","602.72","607.99","599.28","4.73M","1.32%"
"12/23/2024","599.85","589.60","601.09","586.25","10.21M","2.49%"
"12/20/2024","585.25","590.58","603.11","580.00","48.99M","-1.73%"
"12/19/2024","595.57","610.39","611.52","595.00","14.96M","-0.27%"
"12/18/2024","597.19","621.00","627.36","596.32","17.08M","-3.59%"
"12/17/2024","619.44","626.17","632.37","616.54","12.90M","-0.77%"
"12/16/2024","624.24","629.97","631.15","618.58","10.89M","0.63%"
"12/13/2024","620.35","627.22","631.08","616.89","8.45M","-1.66%"
"12/12/2024","630.79","631.50","636.66","627.21","7.47M","-0.30%"
"12/11/2024","632.68","623.37","638.40","621.53","10.84M","2.16%"
"12/10/2024","619.32","617.56","625.59","612.74","10.94M","0.94%"
"12/09/2024","613.57","623.92","626.40","606.17","11.43M","-1.64%"
"12/06/2024","623.77","610.10","629.79","608.53","16.94M","2.44%"
"12/05/2024","608.93","617.08","619.90","607.05","8.08M","-0.79%"
"12/04/2024","613.78","612.96","617.78","605.10","14.70M","0.02%"
"12/03/2024","613.65","595.00","614.20","591.25","14.91M","3.51%"
"12/02/2024","592.83","577.50","594.50","575.57","12.52M","3.22%"
"11/29/2024","574.32","569.00","578.46","566.90","7.13M","0.90%"
"11/27/2024","569.20","574.89","574.98","564.10","7.20M","-0.76%"
"11/26/2024","573.54","566.00","577.50","565.20","10.36M","1.49%"
"11/25/2024","565.11","562.10","572.59","556.39","13.60M","1.07%"
"11/22/2024","559.14","563.55","563.83","554.59","9.16M","-0.70%"
"11/21/2024","563.09","569.52","570.00","549.05","11.15M","-0.43%"
"11/20/2024","565.52","562.93","566.35","554.20","9.80M","0.79%"
"11/19/2024","561.09","551.86","561.43","550.60","9.52M","1.21%"
"11/18/2024","554.40","557.04","559.90","550.09","14.35M","0.06%"
"11/15/2024","554.08","571.22","572.57","551.50","17.71M","-4.00%"
"11/14/2024","577.16","577.00","580.76","573.01","11.05M","-0.49%"
"11/13/2024","580.00","582.60","585.64","575.17","10.76M","-0.82%"
"11/12/2024","584.82","588.54","599.66","580.38","16.29M","0.28%"
"11/11/2024","583.17","586.36","587.00","576.51","10.21M","-1.05%"
"11/08/2024","589.34","591.54","593.10","584.52","9.42M","-0.40%"
"11/07/2024","591.70","576.89","594.80","575.21","14.65M","3.44%"
"11/06/2024","572.05","562.75","573.00","555.17","18.31M","-0.07%"
"11/05/2024","572.43","567.30","573.48","566.67","9.78M","2.10%"
"11/04/2024","560.68","564.10","568.69","557.89","12.06M","-1.14%"
"11/01/2024","567.16","567.60","573.67","562.56","15.30M","-0.07%"
"10/31/2024","567.58","585.00","589.90","563.01","26.84M","-4.09%"
"10/30/2024","591.80","600.98","601.20","589.38","26.86M","-0.25%"
"10/29/2024","593.28","580.15","593.67","575.40","13.02M","2.62%"
"10/28/2024","578.16","582.00","583.75","574.12","10.93M","0.86%"
"10/25/2024","573.25","573.93","581.29","571.72","11.34M","0.96%"
"10/24/2024","567.78","567.13","568.88","561.52","7.18M","0.73%"
"10/23/2024","563.69","579.97","585.00","562.50","14.25M","-3.15%"
"10/22/2024","582.01","574.29","583.53","572.12","8.54M","1.19%"
"10/21/2024","575.16","576.03","577.24","569.11","8.17M","-0.23%"
"10/18/2024","576.47","581.10","583.97","575.25","7.69M","-0.08%"
"10/17/2024","576.93","583.33","584.97","575.20","8.70M","0.02%"
"10/16/2024","576.79","581.40","582.08","574.03","11.27M","-1.62%"
"10/15/2024","586.27","590.16","590.61","580.14","9.56M","-0.70%"
"10/14/2024","590.42","594.22","600.10","589.96","8.25M","0.08%"
"10/11/2024","589.95","584.83","591.21","582.71","8.59M","1.05%"
"10/10/2024","583.83","587.57","590.23","582.52","7.74M","-1.13%"
"10/09/2024","590.51","593.99","594.39","581.61","9.53M","-0.40%"
"10/08/2024","592.89","589.69","593.56","585.97","7.86M","1.39%"
"10/07/2024","584.78","598.22","602.95","584.04","12.01M","-1.87%"
"10/04/2024","595.94","583.73","596.85","581.43","14.20M","2.26%"
"10/03/2024","582.77","570.15","583.36","568.73","11.58M","1.74%"
"10/02/2024","572.81","574.86","576.00","569.34","6.52M","-0.63%"
"10/01/2024","576.47","577.98","583.04","570.10","15.26M","0.70%"
"09/30/2024","572.44","567.70","574.68","564.80","12.81M","0.90%"
"09/27/2024","567.36","570.10","570.84","564.51","9.40M","-0.08%"
"09/26/2024","567.84","575.73","577.40","562.35","14.40M","-0.08%"
"09/25/2024","568.31","564.05","576.88","563.72","16.54M","0.88%"
"09/24/2024","563.33","566.68","567.74","554.19","12.99M","-0.19%"
"09/23/2024","564.41","569.50","573.98","562.41","12.83M","0.55%"
"09/20/2024","561.35","560.00","564.50","556.30","22.07M","0.40%"
"09/19/2024","559.10","550.00","562.07","546.52","15.65M","3.93%"
"09/18/2024","537.95","537.07","544.20","533.90","10.32M","0.30%"
"09/17/2024","536.32","537.60","542.10","530.57","11.69M","0.57%"
"09/16/2024","533.28","524.54","534.10","517.40","9.53M","1.65%"
"09/13/2024","524.62","520.34","527.58","517.11","10.32M","-0.19%"
"09/12/2024","525.60","517.05","526.71","515.22","11.99M","2.69%"
"09/11/2024","511.83","507.01","513.12","495.60","10.78M","1.39%"
"09/10/2024","504.79","508.16","514.18","500.03","9.90M","0.00%"
"09/09/2024","504.79","506.16","511.33","502.08","11.05M","0.90%"
"09/06/2024","500.27","521.88","524.58","498.25","14.74M","-3.21%"
"09/05/2024","516.86","511.72","521.63","511.15","8.64M","0.80%"
"09/04/2024","512.74","506.07","516.59","504.07","8.34M","0.19%"
"09/03/2024","511.76","519.64","525.49","508.62","12.46M","-1.83%"
"08/30/2024","521.31","521.35","523.54","515.20","9.16M","0.60%"
"08/29/2024","518.22","519.05","527.20","515.68","8.32M","0.28%"
"08/28/2024","516.78","517.67","521.09","512.45","9.11M","-0.45%"
"08/27/2024","519.10","518.98","524.01","515.31","6.28M","-0.39%"
"08/26/2024","521.12","527.60","528.00","514.95","9.58M","-1.30%"
"08/23/2024","528.00","536.92","539.87","525.06","11.32M","-0.74%"
"08/22/2024","531.93","537.00","544.23","528.59","15.71M","-0.60%"
"08/21/2024","535.16","527.15","539.40","526.93","13.42M","1.60%"
"08/20/2024","526.73","528.35","531.09","525.88","7.94M","-0.48%"
"08/19/2024","529.28","526.87","531.66","522.76","9.88M","0.35%"
"08/16/2024","527.42","531.90","533.66","524.66","14.78M","-1.84%"
"08/15/2024","537.33","531.79","539.77","526.70","13.48M","2.01%"
"08/14/2024","526.76","528.06","534.00","523.13","11.44M","-0.34%"
"08/13/2024","528.54","520.01","531.50","518.15","13.74M","2.44%"
"08/12/2024","515.95","516.86","518.02","509.10","9.77M","-0.35%"
"08/09/2024","517.77","507.71","518.34","505.70","13.70M","1.60%"
"08/08/2024","509.63","497.50","509.96","494.72","16.16M","4.24%"
"08/07/2024","488.92","503.13","510.15","486.86","20.11M","-1.05%"
"08/06/2024","494.09","479.00","502.56","478.65","20.95M","3.86%"
"08/05/2024","475.73","451.35","483.48","450.80","21.40M","-2.54%"
"08/02/2024","488.14","489.00","501.14","476.15","24.04M","-1.93%"
"08/01/2024","497.74","521.00","527.17","492.10","43.08M","4.82%"
"07/31/2024","474.83","471.02","476.50","466.75","24.29M","2.51%"
"07/30/2024","463.19","467.00","472.73","456.70","11.39M","-0.54%"
"07/29/2024","465.71","469.88","473.96","465.02","11.34M","0.00%"
"07/26/2024","465.70","464.20","469.77","459.42","14.22M","2.71%"
"07/25/2024","453.41","463.26","463.55","442.65","18.24M","-1.70%"
"07/24/2024","461.27","472.30","476.30","460.58","17.65M","-5.61%"
"07/23/2024","488.69","489.84","495.22","487.72","9.46M","0.26%"
"07/22/2024","487.40","486.58","492.06","483.90","12.02M","2.23%"
"07/19/2024","476.79","476.06","486.71","475.71","15.15M","0.20%"
"07/18/2024","475.85","475.00","479.24","464.54","19.27M","3.00%"
"07/17/2024","461.99","479.17","479.17","459.12","28.08M","-5.68%"
"07/16/2024","489.79","501.50","503.95","485.79","14.08M","-1.28%"
"07/15/2024","496.16","498.63","506.68","493.37","12.54M","-0.54%"
"07/12/2024","498.87","497.76","508.09","494.23","19.75M","-2.70%"
"07/11/2024","512.70","530.89","535.46","508.37","16.46M","-4.11%"
"07/10/2024","534.69","530.79","538.88","528.36","10.98M","0.88%"
"07/09/2024","530.00","533.75","537.48","528.19","8.77M","0.13%"
"07/08/2024","529.32","542.35","542.81","526.65","14.92M","-1.96%"
"07/05/2024","539.91","511.60","540.87","511.60","21.35M","5.87%"
"07/03/2024","509.96","506.37","511.28","506.02","6.01M","0.09%"
"07/02/2024","509.50","500.76","510.50","499.45","7.74M","0.96%"
"07/01/2024","504.68","504.95","506.58","493.17","10.33M","0.09%"
"06/28/2024","504.22","517.15","521.88","503.84","15.86M","-2.95%"
"06/27/2024","519.56","514.25","522.88","513.90","10.12M","1.26%"
"06/26/2024","513.12","506.64","513.81","504.68","8.88M","0.49%"
"06/25/2024","510.60","497.05","510.71","495.50","12.11M","2.34%"
"06/24/2024","498.91","499.20","507.80","494.29","13.53M","0.83%"
"06/21/2024","494.78","503.45","503.45","492.39","23.13M","-1.38%"
"06/20/2024","501.70","502.00","503.67","496.77","11.80M","0.44%"
